Region,Quarter_Start,Quarter,Year,Category,Sales_Amount,Category_Rank_in_Region,Previous_Quarter_Sales,Quarter_Sales_Change,Quarter_Sales_Growth_Percent,Running_Total_Sales
East,2024-04-01,2024Q2,2024,Technology,317142.58,1.0,938491.3725,-621348.7925,-66.20719281039527,3861974.6625
East,2024-07-01,2024Q3,2024,Furniture,211475.85,2.0,65808.44,145667.41,221.35065046367913,1123143.65
East,2024-07-01,2024Q3,2024,Office Supplies,3621.4300000000003,3.0,4633.26,-1011.8299999999999,-21.838403197748452,28937.56
East,2024-07-01,2024Q3,2024,Technology,831881.2075,1.0,317142.58,514738.6275,162.30511446933426,4693855.87
East,2024-10-01,2024Q4,2024,Furniture,234832.19999999998,2.0,211475.85,23356.349999999977,11.044452593523078,1357975.85
East,2024-10-01,2024Q4,2024,Office Supplies,7097.23,3.0,3621.4300000000003,3475.7999999999993,95.97866036344756,36034.79
East,2024-10-01,2024Q4,2024,Technology,507857.9075,1.0,831881.2075,-324023.30000000005,-38.95066952813693,5201713.7775
East,2025-01-01,2025Q1,2025,Furniture,196521.33000000002,2.0,234832.19999999998,-38310.869999999966,-16.314146867422767,1554497.18
East,2025-01-01,2025Q1,2025,Office Supplies,2897.39,3.0,7097.23,-4199.84,-59.17576293849854,38932.18
East,2025-01-01,2025Q1,2025,Technology,1185435.7550000001,1.0,507857.9075,677577.8475000001,133.4187845642632,6387149.532500001
East,2025-04-01,2025Q2,2025,Furniture,97907.81,2.0,196521.33000000002,-98613.52000000002,-50.17955048441816,1652404.99
East,2025-04-01,2025Q2,2025,Office Supplies,6263.38,3.0,2897.39,3365.9900000000002,116.17317654854888,45195.56
East,2025-04-01,2025Q2,2025,Technology,722473.185,1.0,1185435.7550000001,-462962.57000000007,-39.05421006978147,7109622.7175
East,2025-07-01,2025Q3,2025,Furniture,18054.77,2.0,97907.81,-79853.04,-81.5594179871861,1670459.76
East,2025-07-01,2025Q3,2025,Office Supplies,2101.81,3.0,6263.38,-4161.57,-66.44287908445598,47297.37
East,2025-07-01,2025Q3,2025,Technology,772634.5875,1.0,722473.185,50161.40249999997,6.943012355538146,7882257.305000001
East,2025-10-01,2025Q4,2025,Furniture,88421.7,2.0,18054.77,70366.93,389.7414921375348,1758881.46
East,2025-10-01,2025Q4,2025,Office Supplies,7872.88,3.0,2101.81,5771.07,274.5761986097697,55170.25
East,2025-10-01,2025Q4,2025,Technology,743046.1575,1.0,772634.5875,-29588.43000000005,-3.8295502788373486,8625303.4625
North,2023-01-01,2023Q1,2023,Furniture,126534.34,3.0,,,,126534.34
North,2023-01-01,2023Q1,2023,Office Supplies,201216.9675,2.0,,,,201216.9675
North,2023-01-01,2023Q1,2023,Technology,1256603.135,1.0,,,,1256603.135
North,2023-04-01,2023Q2,2023,Furniture,179933.71,2.0,126534.34,53399.369999999995,42.20148459303616,306468.05
North,2023-04-01,2023Q2,2023,Office Supplies,2011.3400000000001,3.0,201216.9675,-199205.6275,-99.0004123285478,203228.3075
North,2023-04-01,2023Q2,2023,Technology,950308.9450000001,1.0,1256603.135,-306294.18999999994,-24.37477525471874,2206912.08
North,2023-07-01,2023Q3,2023,Furniture,250970.35,2.0,179933.71,71036.64000000001,39.47933936336889,557438.4
North,2023-07-01,2023Q3,2023,Office Supplies,5670.26,3.0,2011.3400000000001,3658.92,181.9145445325007,208898.5675
North,2023-07-01,2023Q3,2023,Technology,748865.0700000001,1.0,950308.9450000001,-201443.875,-21.197724809377647,2955777.1500000004
North,2023-10-01,2023Q4,2023,Furniture,341971.75,2.0,250970.35,91001.4,36.25982113026499,899410.15
North,2023-10-01,2023Q4,2023,Office Supplies,13978.5,3.0,5670.26,8308.24,146.52308712475264,222877.0675
North,2023-10-01,2023Q4,2023,Technology,1283008.8475,1.0,748865.0700000001,534143.7774999999,71.32710536225169,4238785.9975000005
North,2024-01-01,2024Q1,2024,Furniture,162960.96,2.0,341971.75,-179010.79,-52.34666021389194,1062371.11
North,2024-01-01,2024Q1,2024,Office Supplies,1653.79,3.0,13978.5,-12324.71,-88.16904531959796,224530.8575
North,2024-01-01,2024Q1,2024,Technology,639263.5700000001,1.0,1283008.8475,-643745.2774999999,-50.17465614164441,4878049.5675
North,2024-04-01,2024Q2,2024,Furniture,107591.51,2.0,162960.96,-55369.45,-33.97712556430694,1169962.62
North,2024-04-01,2024Q2,2024,Office Supplies,7017.29,3.0,1653.79,5363.5,324.31566281087686,231548.1475
North,2024-04-01,2024Q2,2024,Technology,861068.4275,1.0,639263.5700000001,221804.85749999993,34.69693377021311,5739117.995
North,2024-07-01,2024Q3,2024,Furniture,138061.37,2.0,107591.51,30469.86,28.319948293317943,1308023.99
North,2024-07-01,2024Q3,2024,Office Supplies,7542.9400000000005,3.0,7017.29,525.6500000000005,7.4907834790923635,239091.0875
North,2024-07-01,2024Q3,2024,Technology,1097688.8425,1.0,861068.4275,236620.41500000004,27.47986193002066,6836806.8375
North,2024-10-01,2024Q4,2024,Furniture,248154.0,2.0,138061.37,110092.63,79.74180612578306,1556177.99
North,2024-10-01,2024Q4,2024,Office Supplies,6664.139999999999,3.0,7542.9400000000005,-878.8000000000011,-11.650629595356731,245755.2275
North,2024-10-01,2024Q4,2024,Technology,1086781.715,1.0,1097688.8425,-10907.127499999944,-0.9936447450043151,7923588.5525
North,2025-01-01,2025Q1,2025,Furniture,171491.88,2.0,248154.0,-76662.12,-30.892961628666065,1727669.87
North,2025-01-01,2025Q1,2025,Office Supplies,7763.66,3.0,6664.139999999999,1099.5200000000004,16.4990531411405,253518.8875
North,2025-01-01,2025Q1,2025,Technology,748746.7375,1.0,1086781.715,-338034.97750000004,-31.104220179118492,8672335.290000001
North,2025-04-01,2025Q2,2025,Furniture,317305.98,2.0,171491.88,145814.09999999998,85.02682459367755,2044975.85
North,2025-04-01,2025Q2,2025,Office Supplies,5875.34,3.0,7763.66,-1888.3199999999997,-24.322548900904984,259394.2275
North,2025-04-01,2025Q2,2025,Technology,861143.5875,1.0,748746.7375,112396.84999999998,15.011330850707042,9533478.8775
North,2025-07-01,2025Q3,2025,Furniture,213369.41999999998,2.0,317305.98,-103936.56,-32.75594112660593,2258345.27
North,2025-07-01,2025Q3,2025,Office Supplies,5298.0199999999995,3.0,5875.34,-577.3200000000006,-9.826154741683045,264692.2475
North,2025-07-01,2025Q3,2025,Technology,590784.3300000001,1.0,861143.5875,-270359.25749999995,-31.3953748741118,10124263.2075
North,2025-10-01,2025Q4,2025,Furniture,362208.71,2.0,213369.41999999998,148839.29000000004,69.75661741968462,2620553.98
North,2025-10-01,2025Q4,2025,Office Supplies,8234.05,3.0,5298.0199999999995,2936.0299999999997,55.41749559269312,272926.2975
North,2025-10-01,2025Q4,2025,Technology,877371.535,1.0,590784.3300000001,286587.20499999996,48.50961517547358,11001634.7425
South,2023-01-01,2023Q1,2023,Furniture,109624.1,2.0,,,,109624.1
South,2023-01-01,2023Q1,2023,Office Supplies,12340.06,3.0,,,,12340.06
South,2023-01-01,2023Q1,2023,Technology,1193526.0425,1.0,,,,1193526.0425
South,2023-04-01,2023Q2,2023,Furniture,271589.06,2.0,109624.1,161964.96,147.745760284463,381213.16000000003
South,2023-04-01,2023Q2,2023,Office Supplies,3769.09,3.0,12340.06,-8570.97,-69.45646941749068,16109.15
South,2023-04-01,2023Q2,2023,Technology,1021056.9475,1.0,1193526.0425,-172469.09499999997,-14.450383892649747,2214582.99
South,2023-07-01,2023Q3,2023,Furniture,236789.81,2.0,271589.06,-34799.25,-12.813200207696143,618002.97
South,2023-07-01,2023Q3,2023,Office Supplies,6611.21,3.0,3769.09,2842.12,75.40599985672934,22720.36
South,2023-07-01,2023Q3,2023,Technology,762175.9450000001,1.0,1021056.9475,-258881.00249999994,-25.35421781653368,2976758.935
South,2023-10-01,2023Q4,2023,Furniture,647670.04,2.0,236789.81,410880.23000000004,173.5210776173181,1265673.01
South,2023-10-01,2023Q4,2023,Office Supplies,4141.06,3.0,6611.21,-2470.1499999999996,-37.363054569435846,26861.42
South,2023-10-01,2023Q4,2023,Technology,1122631.7275,1.0,762175.9450000001,360455.7825,47.29298856315912,4099390.6625
South,2024-01-01,2024Q1,2024,Furniture,444867.08999999997,2.0,647670.04,-202802.95000000007,-31.3126958906421,1710540.1
South,2024-01-01,2024Q1,2024,Office Supplies,7999.27,3.0,4141.06,3858.21,93.16962323656261,34860.69
South,2024-01-01,2024Q1,2024,Technology,706139.3875,1.0,1122631.7275,-416492.3400000001,-37.099640941690744,4805530.05
South,2024-04-01,2024Q2,2024,Furniture,61835.880000000005,2.0,444867.08999999997,-383031.20999999996,-86.10014510176511,1772375.98
South,2024-04-01,2024Q2,2024,Office Supplies,4974.7,3.0,7999.27,-3024.5700000000006,-37.810575214988376,39835.39
South,2024-04-01,2024Q2,2024,Technology,1946742.6425,1.0,706139.3875,1240603.2550000001,175.6881540615096,6752272.6925
South,2024-07-01,2024Q3,2024,Furniture,447084.36,1.0,61835.880000000005,385248.48,623.0177042843087,2219460.34
South,2024-07-01,2024Q3,2024,Office Supplies,8389.58,3.0,4974.7,3414.88,68.64494341367319,48224.97
South,2024-07-01,2024Q3,2024,Technology,373078.77,2.0,1946742.6425,-1573663.8725,-80.83574264747735,7125351.4625
South,2024-10-01,2024Q4,2024,Furniture,98217.01000000001,2.0,447084.36,-348867.35,-78.03166051257082,2317677.35
South,2024-10-01,2024Q4,2024,Office Supplies,43435.83,3.0,8389.58,35046.25,417.7354527878631,91660.8
South,2024-10-01,2024Q4,2024,Technology,969081.9625,1.0,373078.77,596003.1925,159.75264218331156,8094433.425
South,2025-01-01,2025Q1,2025,Furniture,333374.92000000004,2.0,98217.01000000001,235157.91000000003,239.42686709766465,2651052.27
South,2025-01-01,2025Q1,2025,Office Supplies,45199.38,3.0,43435.83,1763.5499999999956,4.06012731885173,136860.18
South,2025-01-01,2025Q1,2025,Technology,892799.655,1.0,969081.9625,-76282.3075,-7.871605339058201,8987233.08
South,2025-04-01,2025Q2,2025,Furniture,72470.89,2.0,333374.92000000004,-260904.03000000003,-78.26144510210906,2723523.16
South,2025-04-01,2025Q2,2025,Office Supplies,5773.62,3.0,45199.38,-39425.759999999995,-87.2263292107104,142633.8
South,2025-04-01,2025Q2,2025,Technology,642174.23,1.0,892799.655,-250625.42500000005,-28.071855045687716,9629407.31
South,2025-07-01,2025Q3,2025,Furniture,310854.43,2.0,72470.89,238383.53999999998,328.9369566180296,3034377.59
South,2025-07-01,2025Q3,2025,Office Supplies,4765.88,3.0,5773.62,-1007.7399999999998,-17.45421416719493,147399.68
South,2025-07-01,2025Q3,2025,Technology,1147321.105,1.0,642174.23,505146.875,78.66196608356583,10776728.415
South,2025-10-01,2025Q4,2025,Furniture,116227.51000000001,2.0,310854.43,-194626.91999999998,-62.61030926919716,3150605.1
South,2025-10-01,2025Q4,2025,Office Supplies,4593.96,3.0,4765.88,-171.92000000000007,-3.6073086187650567,151993.64
South,2025-10-01,2025Q4,2025,Technology,1013140.66,1.0,1147321.105,-134180.44499999995,-11.695108232145694,11789869.075
West,2023-01-01,2023Q1,2023,Furniture,219724.69,2.0,,,,219724.69
West,2023-01-01,2023Q1,2023,Office Supplies,4072.0699999999997,3.0,,,,4072.0699999999997
West,2023-01-01,2023Q1,2023,Technology,858565.3150000001,1.0,,,,858565.3150000001
West,2023-04-01,2023Q2,2023,Furniture,260126.09,2.0,219724.69,40401.399999999994,18.38728274005074,479850.78
West,2023-04-01,2023Q2,2023,Office Supplies,5736.27,3.0,4072.0699999999997,1664.2000000000007,40.86864911457811,9808.34
West,2023-04-01,2023Q2,2023,Technology,643262.5599999999,1.0,858565.3150000001,-215302.75500000012,-25.077038547731235,1501827.875
West,2023-07-01,2023Q3,2023,Furniture,325487.44,2.0,260126.09,65361.350000000006,25.126795239954596,805338.22
West,2023-07-01,2023Q3,2023,Office Supplies,10625.74,3.0,5736.27,4889.469999999999,85.2377938974281,20434.08
West,2023-07-01,2023Q3,2023,Technology,1364581.6625,1.0,643262.5599999999,721319.1025000002,112.13447623937576,2866409.5375
West,2023-10-01,2023Q4,2023,Furniture,208492.34,2.0,325487.44,-116995.1,-35.94458207050939,1013830.5599999999
West,2023-10-01,2023Q4,2023,Office Supplies,5037.9,3.0,10625.74,-5587.84,-52.58777271041829,25471.98
West,2023-10-01,2023Q4,2023,Technology,1236091.8325,1.0,1364581.6625,-128489.83000000007,-9.416060139969826,4102501.37
West,2024-01-01,2024Q1,2024,Furniture,169412.32,2.0,208492.34,-39080.01999999999,-18.74410350039718,1183242.88
West,2024-01-01,2024Q1,2024,Office Supplies,4423.8099999999995,3.0,5037.9,-614.0900000000001,-12.189404315290105,29895.79
West,2024-01-01,2024Q1,2024,Technology,830497.7675000001,1.0,1236091.8325,-405594.06499999994,-32.812615886287716,4932999.1375
West,2024-04-01,2024Q2,2024,Furniture,251633.6,2.0,169412.32,82221.28,48.533235363284085,1434876.48
West,2024-04-01,2024Q2,2024,Office Supplies,5963.43,3.0,4423.8099999999995,1539.6200000000008,34.80303177577701,35859.22
West,2024-04-01,2024Q2,2024,Technology,702050.89,1.0,830497.7675000001,-128446.87750000006,-15.466251990858007,5635050.0275
West,2024-07-01,2024Q3,2024,Furniture,298034.09,2.0,251633.6,46400.49000000002,18.439703600791,1732910.57
West,2024-07-01,2024Q3,2024,Office Supplies,7973.17,3.0,5963.43,2009.7399999999998,33.701074717067186,43832.39
West,2024-07-01,2024Q3,2024,Technology,1481629.195,1.0,702050.89,779578.305,111.0429907723641,7116679.2225
West,2024-10-01,2024Q4,2024,Furniture,249877.07,1.0,298034.09,-48157.02000000002,-16.15822538958547,1982787.6400000001
West,2024-10-01,2024Q4,2024,Office Supplies,4192.73,3.0,7973.17,-3780.4400000000005,-47.414516434492185,48025.119999999995
West,2024-10-01,2024Q4,2024,Technology,211470.64,2.0,1481629.195,-1270158.5550000002,-85.72715489721435,7328149.8625
West,2025-01-01,2025Q1,2025,Furniture,305075.47,2.0,249877.07,55198.399999999965,22.09022220406217,2287863.11
West,2025-01-01,2025Q1,2025,Office Supplies,4762.599999999999,3.0,4192.73,569.8699999999999,13.591860196101347,52787.72
West,2025-01-01,2025Q1,2025,Technology,523535.68,1.0,211470.64,312065.04,147.56896749354897,7851685.5425
West,2025-04-01,2025Q2,2025,Furniture,26705.0,2.0,305075.47,-278370.47,-91.24642830182314,2314568.11
West,2025-04-01,2025Q2,2025,Office Supplies,10732.220000000001,3.0,4762.599999999999,5969.620000000002,125.34371981690677,63519.94
West,2025-04-01,2025Q2,2025,Technology,1048392.0375,1.0,523535.68,524856.3574999999,100.25226122124091,8900077.58
West,2025-07-01,2025Q3,2025,Furniture,46106.01,2.0,26705.0,19401.010000000002,72.64935405354804,2360674.12
West,2025-07-01,2025Q3,2025,Office Supplies,7627.02,3.0,10732.220000000001,-3105.2000000000007,-28.933435952673353,71146.95999999999
West,2025-07-01,2025Q3,2025,Technology,1522284.3025,1.0,1048392.0375,473892.265,45.20181840850733,10422361.8825
West,2025-10-01,2025Q4,2025,Furniture,80231.26,2.0,46106.01,34125.24999999999,74.0147542587181,2440905.38
West,2025-10-01,2025Q4,2025,Office Supplies,9897.71,3.0,7627.02,2270.6899999999987,29.771653935613102,81044.67
West,2025-10-01,2025Q4,2025,Technology,1286192.12,1.0,1522284.3025,-236092.18249999988,-15.509072918394617,11708554.0025
