Order ID,Order Date,Region,Sales
ORD101653,2024-02-07,Africa,3392.8
ORD100887,2024-02-08,North America,4762.75
ORD100546,2024-02-09,Europe,6065.69
ORD100898,2024-02-09,Europe,3353.87
ORD101983,2024-02-09,North America,5348.96
ORD100542,2024-02-10,Europe,2913.89
ORD101021,2024-02-10,South America,3189.01
ORD101026,2024-02-10,Europe,3789.92
ORD101267,2024-02-10,South America,3920.84
ORD100858,2024-02-11,Europe,3985.77
ORD101801,2024-02-11,Australia,1453.15
ORD101979,2024-02-11,South America,4104.47
ORD100150,2024-02-12,Africa,3192.75
ORD101136,2024-02-12,Asia,4186.83
ORD100619,2024-02-14,Australia,2606.32
ORD101351,2024-02-14,North America,4524.79
ORD101411,2024-02-14,South America,3111.32
ORD101470,2024-02-14,Europe,3716.94
ORD101615,2024-02-14,Europe,6200.77
ORD101889,2024-02-14,North America,4221.11
ORD100036,2024-02-16,Asia,6745.81
ORD100279,2024-02-17,Africa,2948.33
ORD101456,2024-02-17,Asia,2338.69
ORD100518,2024-02-18,Australia,2173.21
ORD101035,2024-02-18,North America,3679.33
ORD100045,2024-02-19,North America,5017.94
ORD100387,2024-02-19,South America,4380.08
ORD101362,2024-02-19,North America,5308.88
ORD101769,2024-02-19,Africa,2588.52
ORD100899,2024-02-21,North America,8320.86
ORD100659,2024-02-22,Europe,6335.35
ORD101022,2024-02-22,North America,5237.8
ORD101834,2024-02-22,Africa,2169.08
ORD101953,2024-02-22,North America,4692.19
ORD101215,2024-02-24,Australia,6077.92
ORD101253,2024-02-24,Europe,5095.02
ORD101911,2024-02-24,South America,2451.73
ORD100069,2024-02-25,North America,6201.28
ORD101027,2024-02-26,Africa,2303.74
ORD101055,2024-02-26,Europe,5166.62
ORD100127,2024-02-27,Asia,3919.79
ORD100217,2024-02-27,Europe,4908.02
ORD101588,2024-02-27,North America,3662.11
ORD101096,2024-02-28,Europe,4382.42
ORD101571,2024-02-28,North America,6360.35
ORD100439,2024-02-29,Australia,2222.39
ORD101851,2024-02-29,Europe,5003.36
ORD100280,2024-03-01,Asia,5147.79
ORD101361,2024-03-01,Africa,4076.32
ORD100246,2024-03-02,Europe,5407.72
ORD100431,2024-03-02,Australia,2886.27
ORD100678,2024-03-02,Asia,5076.72
ORD101122,2024-03-02,North America,6032.97
ORD101328,2024-03-02,North America,5624.88
ORD100007,2024-03-03,Australia,3080.21
ORD100881,2024-03-03,Asia,4004.42
ORD101256,2024-03-03,Asia,3424.0
ORD100753,2024-03-04,Africa,3224.93
ORD100196,2024-03-05,North America,4142.73
ORD100728,2024-03-05,Africa,3012.5
ORD101543,2024-03-05,Europe,5260.22
ORD101721,2024-03-05,Asia,3760.53
ORD100001,2024-03-06,North America,6738.1
ORD100172,2024-03-06,South America,3528.72
ORD100695,2024-03-06,South America,2666.51
ORD101531,2024-03-06,Asia,3557.16
ORD101809,2024-03-06,North America,5036.99
ORD101931,2024-03-06,Asia,4912.08
ORD100133,2024-03-07,North America,5206.02
ORD100359,2024-03-07,South America,3879.56
ORD100826,2024-03-07,North America,5778.08
ORD101633,2024-03-07,Africa,3099.21
ORD100033,2024-03-08,Asia,2373.66
ORD100910,2024-03-08,Africa,3248.67
ORD100010,2024-03-09,Asia,4329.44
ORD100581,2024-03-09,Africa,3903.61
ORD100951,2024-03-09,Australia,5249.47
ORD101690,2024-03-09,Asia,4381.22
ORD100243,2024-03-10,Europe,2331.46
ORD100376,2024-03-10,North America,3730.95
ORD100674,2024-03-10,North America,2800.84
ORD100700,2024-03-10,South America,2941.98
ORD100791,2024-03-10,South America,4518.52
ORD100977,2024-03-10,Asia,2498.02
ORD100218,2024-03-11,Asia,4625.66
ORD101842,2024-03-11,Asia,4014.62
ORD100087,2024-03-12,South America,1538.91
ORD100588,2024-03-13,Asia,3424.25
ORD101738,2024-03-13,Asia,1216.87
ORD101788,2024-03-13,Asia,994.28
ORD100891,2024-03-14,North America,4893.19
ORD101880,2024-03-14,North America,5174.62
ORD100580,2024-03-15,Africa,2474.48
ORD101289,2024-03-15,North America,5989.9
ORD101436,2024-03-15,Australia,3750.15
ORD100258,2024-03-16,Africa,1805.48
ORD101359,2024-03-16,Australia,2181.35
ORD101450,2024-03-16,Asia,4871.68
ORD100516,2024-03-17,Europe,3906.67
ORD101166,2024-03-17,Europe,5161.93
ORD101730,2024-03-17,Africa,3476.26
ORD101827,2024-03-17,Asia,3642.23
ORD100171,2024-03-18,Europe,5955.81
ORD100460,2024-03-18,Europe,3575.17
ORD100818,2024-03-18,Asia,3960.44
ORD101855,2024-03-18,South America,3612.01
ORD100322,2024-03-19,Asia,3854.07
ORD100583,2024-03-19,Europe,4207.83
ORD101227,2024-03-19,South America,4059.66
ORD100310,2024-03-20,Australia,4183.42
ORD100480,2024-03-20,Asia,4455.81
ORD101272,2024-03-20,Asia,5973.03
ORD100808,2024-03-21,Asia,2388.66
ORD101538,2024-03-21,Europe,4983.74
ORD101816,2024-03-21,Asia,3035.0
ORD101466,2024-03-22,South America,2577.82
ORD101484,2024-03-22,Europe,6191.97
ORD101489,2024-03-22,North America,6314.34
ORD101867,2024-03-22,Europe,4051.2
ORD101579,2024-03-23,North America,4953.44
ORD100120,2024-03-24,Africa,2241.03
ORD100501,2024-03-24,South America,3708.01
ORD100873,2024-03-24,Australia,1033.34
ORD101216,2024-03-24,North America,5030.81
ORD101321,2024-03-24,North America,2526.04
ORD100365,2024-03-25,Asia,4226.65
ORD100538,2024-03-25,South America,2042.34
ORD101020,2024-03-25,Europe,4514.74
ORD100726,2024-03-26,North America,3879.5
ORD100198,2024-03-27,South America,4273.77
ORD100313,2024-03-27,Asia,4705.7
ORD100497,2024-03-27,Africa,3665.71
ORD100778,2024-03-27,Asia,4866.42
ORD101946,2024-03-27,Europe,5273.62
ORD100724,2024-03-28,Asia,4019.65
ORD100863,2024-03-28,Australia,3713.01
ORD100946,2024-03-28,Australia,2478.41
ORD101050,2024-03-28,Europe,4139.5
ORD101157,2024-03-28,North America,6298.76
ORD101343,2024-03-28,South America,3210.01
ORD101619,2024-03-29,Africa,2430.87
ORD101876,2024-03-29,North America,4372.35
ORD100386,2024-03-30,North America,6852.96
ORD100418,2024-03-30,Asia,4378.19
ORD100783,2024-03-30,Europe,3491.44
ORD100784,2024-03-30,North America,6319.88
ORD100436,2024-03-31,Australia,4230.99
ORD101238,2024-03-31,Europe,5967.24
ORD101605,2024-03-31,North America,5637.84
ORD100874,2024-04-01,Australia,2991.72
ORD101928,2024-04-01,Asia,2378.47
ORD100157,2024-04-02,North America,6611.46
ORD101610,2024-04-02,Europe,2213.6
ORD101630,2024-04-02,Europe,5010.2
ORD100018,2024-04-03,Africa,2017.47
ORD100221,2024-04-03,North America,5004.86
ORD100759,2024-04-03,Australia,3806.52
ORD101005,2024-04-03,North America,5883.92
ORD101805,2024-04-03,North America,6510.15
ORD100074,2024-04-04,Australia,1744.74
ORD100705,2024-04-04,Asia,5909.0
ORD100945,2024-04-04,Africa,3268.43
ORD100434,2024-04-05,North America,5243.69
ORD101776,2024-04-05,Europe,3560.91
ORD100414,2024-04-06,Australia,4180.24
ORD100443,2024-04-06,North America,4314.39
ORD100670,2024-04-06,Africa,1832.8
ORD101645,2024-04-06,Europe,1459.42
ORD101926,2024-04-06,Asia,3663.04
ORD100604,2024-04-08,Africa,3787.52
ORD100948,2024-04-08,Australia,3366.36
ORD101358,2024-04-08,Asia,3768.01
ORD101819,2024-04-08,Asia,4601.39
ORD101895,2024-04-08,Australia,3631.86
ORD100823,2024-04-09,Asia,3701.94
ORD100682,2024-04-10,Africa,1443.71
ORD101342,2024-04-10,North America,5773.26
ORD101836,2024-04-10,Asia,2496.28
ORD100721,2024-04-11,North America,6247.0
ORD101528,2024-04-11,Australia,4316.81
ORD100100,2024-04-12,North America,3409.84
ORD100118,2024-04-12,Africa,3836.52
ORD100241,2024-04-12,Africa,3033.02
ORD100306,2024-04-12,Australia,4892.8
ORD100462,2024-04-12,Asia,5002.88
ORD100620,2024-04-12,North America,6705.23
ORD100769,2024-04-12,North America,3901.93
ORD101445,2024-04-12,Asia,4140.66
ORD100329,2024-04-13,Europe,3193.27
ORD101090,2024-04-13,Asia,2666.65
ORD100834,2024-04-14,North America,6546.36
ORD101187,2024-04-14,Africa,2383.8
ORD101963,2024-04-14,North America,5068.54
ORD100256,2024-04-15,Africa,2699.86
ORD100408,2024-04-15,North America,4693.06
ORD100528,2024-04-15,Asia,4422.59
ORD101063,2024-04-15,Asia,3482.74
ORD101612,2024-04-15,Africa,3474.36
ORD100522,2024-04-16,Asia,6060.01
ORD100924,2024-04-16,Europe,3119.88
ORD101935,2024-04-17,South America,3264.74
ORD100457,2024-04-18,North America,4456.22
ORD100752,2024-04-18,North America,3670.95
ORD100938,2024-04-18,Asia,4321.11
ORD100975,2024-04-18,North America,3674.34
ORD101575,2024-04-18,Asia,3086.31
ORD101607,2024-04-18,Asia,5131.43
ORD101524,2024-04-19,Asia,3551.31
ORD101677,2024-04-19,Asia,3779.74
ORD101698,2024-04-19,North America,2637.57
ORD100273,2024-04-20,Europe,4158.42
ORD100357,2024-04-20,Asia,3061.68
ORD101104,2024-04-20,Australia,6301.14
ORD101481,2024-04-20,Asia,3394.56
ORD100182,2024-04-21,North America,5618.3
ORD101970,2024-04-21,North America,5237.52
ORD100058,2024-04-22,North America,6132.9
ORD100390,2024-04-22,North America,5440.99
ORD100536,2024-04-22,Asia,6010.98
ORD100961,2024-04-22,Asia,3028.16
ORD101046,2024-04-22,North America,6283.75
ORD101229,2024-04-22,North America,3266.53
ORD101537,2024-04-22,South America,2776.46
ORD100533,2024-04-23,Asia,6784.93
ORD100884,2024-04-23,South America,3536.69
ORD101406,2024-04-23,Europe,4637.4
ORD100847,2024-04-24,Europe,2171.14
ORD101655,2024-04-24,Asia,6107.93
ORD101947,2024-04-24,Europe,3184.59
ORD100750,2024-04-25,Asia,4464.68
ORD100937,2024-04-25,Asia,4977.68
ORD101695,2024-04-26,Africa,3661.15
ORD100083,2024-04-27,Australia,3281.15
ORD100178,2024-04-27,Europe,4902.83
ORD100287,2024-04-27,Europe,5890.36
ORD101854,2024-04-27,Europe,2901.09
ORD101908,2024-04-27,North America,5472.95
ORD101487,2024-04-28,South America,4969.05
ORD101556,2024-04-28,South America,4031.06
ORD101076,2024-04-29,Asia,3291.02
ORD101778,2024-04-29,Asia,4813.44
ORD101936,2024-04-29,Asia,6892.78
ORD100041,2024-04-30,North America,4349.65
ORD100350,2024-04-30,North America,4388.76
ORD100623,2024-04-30,Africa,2787.71
ORD101596,2024-04-30,Australia,3131.06
ORD101637,2024-04-30,Asia,4836.9
ORD101850,2024-04-30,Europe,3504.93
ORD101941,2024-04-30,Australia,2590.68
ORD100187,2024-05-01,Europe,2991.62
ORD100467,2024-05-01,Asia,3704.81
ORD100532,2024-05-01,North America,5915.55
ORD101078,2024-05-01,North America,5726.49
ORD100168,2024-05-02,Asia,3076.72
ORD100703,2024-05-02,Europe,2937.52
ORD100685,2024-05-03,North America,4178.84
ORD100262,2024-05-04,Europe,4450.85
ORD101193,2024-05-04,South America,3511.05
ORD100704,2024-05-05,Asia,3982.64
ORD101433,2024-05-05,Asia,5466.36
ORD100908,2024-05-06,North America,3186.73
ORD101032,2024-05-06,Asia,4011.68
ORD101616,2024-05-06,Asia,4464.53
ORD100411,2024-05-07,Africa,3656.99
ORD100544,2024-05-07,North America,2087.8
ORD100259,2024-05-08,Asia,3310.51
ORD100761,2024-05-08,Europe,2896.9
ORD100230,2024-05-09,North America,6007.78
ORD100661,2024-05-09,North America,5852.49
ORD101174,2024-05-09,North America,1678.5
ORD101405,2024-05-09,Africa,2604.43
ORD101883,2024-05-09,Asia,1461.59
ORD101702,2024-05-10,Asia,4677.14
ORD100251,2024-05-11,North America,6022.52
ORD100392,2024-05-11,Africa,3764.49
ORD101886,2024-05-11,North America,6045.39
ORD100349,2024-05-12,Europe,5589.96
ORD100469,2024-05-12,South America,4431.54
ORD100564,2024-05-12,Australia,4995.8
ORD101106,2024-05-12,South America,2901.27
ORD100023,2024-05-13,Australia,2788.22
ORD100635,2024-05-13,Australia,2600.14
ORD101639,2024-05-13,Africa,4379.42
ORD101929,2024-05-13,Europe,5366.73
ORD100912,2024-05-14,North America,5325.21
ORD101432,2024-05-15,South America,1396.1
ORD101663,2024-05-15,Europe,5718.89
ORD101798,2024-05-15,Europe,4398.99
ORD101891,2024-05-15,North America,4347.06
ORD101345,2024-05-16,South America,3358.59
ORD101960,2024-05-16,Australia,2696.47
ORD100253,2024-05-17,North America,3208.28
ORD101326,2024-05-17,Australia,5550.16
ORD101534,2024-05-17,North America,5182.48
ORD100072,2024-05-18,Asia,3980.51
ORD101651,2024-05-18,Australia,5306.57
ORD101523,2024-05-19,Europe,7780.32
ORD100523,2024-05-20,Africa,2289.27
ORD101113,2024-05-20,North America,4982.57
ORD101178,2024-05-20,Africa,3469.37
ORD100888,2024-05-21,North America,6596.02
ORD100052,2024-05-22,North America,3276.09
ORD100543,2024-05-22,Europe,5386.64
ORD101115,2024-05-22,North America,4375.63
ORD100398,2024-05-23,Australia,3920.74
ORD100993,2024-05-23,Europe,5744.2
ORD101770,2024-05-23,Australia,1920.65
ORD100838,2024-05-24,Asia,3770.89
ORD101787,2024-05-24,South America,3756.03
ORD101704,2024-05-25,Africa,359.32
ORD100102,2024-05-26,Europe,6005.96
ORD100426,2024-05-26,Europe,3286.78
ORD101085,2024-05-26,South America,4575.29
ORD100009,2024-05-27,South America,4875.28
ORD100224,2024-05-27,Asia,7516.8
ORD100653,2024-05-27,Europe,7217.65
ORD100664,2024-05-27,North America,4577.48
ORD100872,2024-05-27,Asia,5483.43
ORD101364,2024-05-27,Africa,2780.41
ORD101796,2024-05-27,Asia,4691.12
ORD100339,2024-05-28,Africa,2725.96
ORD101740,2024-05-29,Asia,4972.1
ORD101474,2024-05-31,Asia,3657.96
ORD101872,2024-05-31,Asia,3743.83
ORD101940,2024-05-31,North America,3231.79
ORD100735,2024-06-01,Africa,2075.53
ORD101072,2024-06-01,Asia,6021.46
ORD101745,2024-06-02,Europe,5629.0
ORD101989,2024-06-02,North America,6405.48
ORD101988,2024-06-03,Asia,3893.68
ORD101710,2024-06-04,Asia,5360.63
ORD100142,2024-06-05,South America,4877.76
ORD101395,2024-06-06,Asia,4868.3
ORD101582,2024-06-07,Africa,3076.69
ORD100964,2024-06-08,North America,3208.01
ORD100903,2024-06-09,Africa,3236.72
ORD101355,2024-06-09,Europe,3724.07
ORD101257,2024-06-11,Australia,6216.87
ORD101839,2024-06-11,Europe,1186.51
ORD100363,2024-06-12,Asia,5046.93
ORD100976,2024-06-13,North America,3684.89
ORD100078,2024-06-14,Asia,7141.17
ORD100032,2024-06-15,South America,3628.55
ORD100567,2024-06-15,North America,6065.87
ORD101512,2024-06-15,Europe,4730.48
ORD100412,2024-06-16,Australia,2296.66
ORD101503,2024-06-16,Australia,4825.88
ORD100326,2024-06-17,Africa,2263.69
ORD101479,2024-06-17,Europe,4425.92
ORD101545,2024-06-17,Asia,3677.98
ORD101656,2024-06-18,Australia,2036.35
ORD100486,2024-06-19,North America,5398.89
ORD100626,2024-06-19,South America,4185.85
ORD101112,2024-06-19,Asia,3140.99
ORD101291,2024-06-19,Australia,2597.81
ORD101877,2024-06-19,Europe,4515.25
ORD100148,2024-06-20,Africa,2608.21
ORD101288,2024-06-20,South America,5235.96
ORD101386,2024-06-20,South America,2644.73
ORD101817,2024-06-20,Europe,2347.91
ORD100327,2024-06-21,Europe,4165.39
ORD100637,2024-06-21,Europe,5695.91
ORD100719,2024-06-21,South America,3858.75
ORD101609,2024-06-21,South America,3874.51
ORD100510,2024-06-22,South America,3664.49
ORD100566,2024-06-22,Asia,4021.34
ORD101308,2024-06-22,Asia,4337.49
ORD100189,2024-06-23,North America,5470.11
ORD100854,2024-06-23,South America,3267.97
ORD101265,2024-06-23,Asia,2326.17
ORD100097,2024-06-24,North America,5597.42
ORD100593,2024-06-24,Australia,5612.48
ORD101047,2024-06-24,Asia,5233.38
ORD100384,2024-06-25,Australia,3723.4
ORD100832,2024-06-25,Australia,3828.97
ORD101251,2024-06-25,Asia,7136.41
ORD101402,2024-06-25,Africa,3484.96
ORD101542,2024-06-25,Asia,3483.27
ORD101506,2024-06-26,North America,3165.0
ORD100315,2024-06-27,North America,3234.59
ORD101107,2024-06-27,South America,3424.85
ORD101124,2024-06-27,North America,6460.63
ORD101709,2024-06-27,North America,4306.68
ORD101786,2024-06-27,South America,3889.68
ORD101811,2024-06-27,North America,5085.89
ORD101906,2024-06-27,Asia,5745.31
ORD100119,2024-06-28,Europe,3396.7
ORD100831,2024-06-28,Asia,5010.75
ORD100857,2024-06-28,North America,4482.38
ORD101013,2024-06-28,North America,5126.34
ORD101454,2024-06-28,Africa,2761.99
ORD101892,2024-06-28,Australia,4727.82
ORD100989,2024-06-29,Australia,3554.79
ORD101515,2024-06-29,Europe,4624.89
ORD100508,2024-06-30,Asia,6686.64
ORD100925,2024-06-30,North America,5215.05
ORD101563,2024-06-30,South America,2215.96
ORD101904,2024-06-30,Australia,1699.93
ORD100568,2024-07-01,North America,4845.42
ORD100617,2024-07-01,North America,6027.65
ORD100483,2024-07-02,Asia,4378.9
ORD101413,2024-07-02,Europe,5061.7
ORD101818,2024-07-03,Asia,5343.14
ORD100696,2024-07-04,Asia,5777.24
ORD101562,2024-07-04,South America,3926.05
ORD101660,2024-07-04,North America,5549.54
ORD101852,2024-07-04,Asia,4381.84
ORD101942,2024-07-04,North America,3684.12
ORD100919,2024-07-05,Asia,3406.62
ORD101307,2024-07-05,Asia,5071.51
ORD101425,2024-07-05,Australia,3504.03
ORD100346,2024-07-06,Asia,3377.36
ORD100933,2024-07-07,South America,2498.71
ORD101179,2024-07-08,Europe,5319.37
ORD101804,2024-07-08,Asia,3359.5
ORD100211,2024-07-09,South America,3857.23
ORD101502,2024-07-09,South America,5523.21
ORD100380,2024-07-10,Europe,4375.66
ORD100209,2024-07-11,Europe,8504.91
ORD101297,2024-07-11,South America,4512.16
ORD101459,2024-07-11,Europe,6249.86
ORD101621,2024-07-12,Africa,3301.02
ORD101701,2024-07-12,South America,2412.79
ORD101882,2024-07-12,North America,5454.54
ORD100206,2024-07-13,North America,5982.5
ORD100618,2024-07-13,Asia,3405.81
ORD101261,2024-07-13,South America,2588.66
ORD100292,2024-07-14,South America,3857.12
ORD101429,2024-07-14,Asia,4708.15
ORD101673,2024-07-14,Europe,4844.26
ORD100509,2024-07-15,North America,5267.72
ORD101011,2024-07-15,North America,6223.61
ORD101123,2024-07-15,Europe,5083.94
ORD100744,2024-07-16,Australia,2756.45
ORD100890,2024-07-16,Asia,4223.24
ORD100779,2024-07-17,Europe,5460.64
ORD100216,2024-07-18,Asia,6439.17
ORD101640,2024-07-18,North America,5653.36
ORD100505,2024-07-19,Africa,3084.14
ORD101322,2024-07-19,North America,4048.98
ORD101491,2024-07-19,Australia,3140.32
ORD100281,2024-07-20,Europe,3279.57
ORD100039,2024-07-21,Asia,4235.82
ORD100111,2024-07-21,North America,4483.29
ORD100143,2024-07-21,Africa,2279.97
ORD100950,2024-07-22,Australia,4253.5
ORD101192,2024-07-22,Asia,5199.2
ORD101794,2024-07-22,Australia,3548.88
ORD100413,2024-07-23,Africa,2804.81
ORD100152,2024-07-24,Africa,2604.51
ORD100314,2024-07-24,North America,3971.41
ORD100399,2024-07-24,Asia,4258.25
ORD101028,2024-07-24,Europe,6286.67
ORD101551,2024-07-24,Asia,4576.18
ORD101999,2024-07-24,Australia,2904.85
ORD102000,2024-07-24,North America,7720.96
ORD100573,2024-07-25,Asia,6284.33
ORD101917,2024-07-25,Europe,4631.62
ORD100814,2024-07-26,Europe,2453.22
ORD101382,2024-07-26,Europe,4563.06
ORD101410,2024-07-26,Australia,3811.43
ORD100299,2024-07-27,South America,5121.95
ORD100534,2024-07-27,South America,4973.36
ORD101209,2024-07-27,North America,10229.09
ORD100450,2024-07-28,North America,7934.92
ORD101993,2024-07-28,Europe,6045.86
ORD100096,2024-07-29,Europe,3516.86
ORD100481,2024-07-29,Europe,4138.82
ORD100660,2024-07-29,North America,7822.24
ORD100855,2024-07-29,Africa,3035.8
ORD101230,2024-07-29,South America,4137.52
ORD100495,2024-07-30,Europe,5276.32
ORD100841,2024-07-30,North America,5995.11
ORD101483,2024-07-30,North America,3937.86
ORD100342,2024-07-31,Africa,1389.87
ORD101561,2024-07-31,Asia,3132.34
ORD101114,2024-08-01,Asia,4101.02
ORD100154,2024-08-02,North America,3508.52
ORD101451,2024-08-02,South America,2902.45
ORD100271,2024-08-03,Australia,5106.11
ORD100796,2024-08-03,Europe,4963.33
ORD101646,2024-08-03,Africa,2599.22
ORD101820,2024-08-03,Australia,4451.75
ORD100419,2024-08-04,Africa,3353.07
ORD101338,2024-08-04,Europe,2962.63
ORD101581,2024-08-04,North America,4109.91
ORD101862,2024-08-04,Asia,5674.08
ORD101907,2024-08-04,Australia,4340.72
ORD100638,2024-08-05,Australia,4692.47
ORD101239,2024-08-05,Europe,5381.88
ORD100353,2024-08-06,Europe,5899.72
ORD100971,2024-08-06,Europe,4302.4
ORD101316,2024-08-06,Europe,3792.01
ORD101400,2024-08-06,Asia,6140.39
ORD100263,2024-08-07,Europe,5963.42
ORD100442,2024-08-07,North America,5187.94
ORD101403,2024-08-07,South America,2738.18
ORD100190,2024-08-08,South America,4293.15
ORD100307,2024-08-08,Asia,2913.48
ORD100802,2024-08-08,Asia,4385.48
ORD100928,2024-08-08,South America,2375.61
ORD101367,2024-08-08,Europe,4357.61
ORD101476,2024-08-08,North America,5119.23
ORD101601,2024-08-08,Europe,2669.42
ORD101823,2024-08-08,North America,4313.51
ORD100136,2024-08-10,Europe,7274.8
ORD100952,2024-08-10,North America,4099.78
ORD101155,2024-08-10,Asia,2233.64
ORD101838,2024-08-10,Europe,4857.61
ORD100226,2024-08-11,Africa,1776.13
ORD101105,2024-08-11,Asia,4278.81
ORD101391,2024-08-11,Asia,4440.23
ORD101186,2024-08-12,North America,4171.52
ORD101779,2024-08-12,Europe,3877.56
ORD100239,2024-08-13,North America,6202.62
ORD100333,2024-08-14,Asia,4775.75
ORD100400,2024-08-14,Europe,2171.38
ORD100526,2024-08-14,North America,4868.37
ORD101060,2024-08-15,North America,4756.03
ORD100088,2024-08-16,South America,2364.81
ORD100749,2024-08-16,Asia,4976.1
ORD101462,2024-08-16,South America,2428.8
ORD101821,2024-08-16,Europe,2758.81
ORD100447,2024-08-17,Australia,3596.32
ORD100748,2024-08-17,Asia,3537.56
ORD101014,2024-08-17,Asia,5874.73
ORD101034,2024-08-17,Europe,3318.73
ORD100309,2024-08-18,North America,3958.48
ORD100368,2024-08-18,North America,6001.17
ORD100799,2024-08-18,Asia,5144.43
ORD100338,2024-08-19,Asia,5602.07
ORD100968,2024-08-19,Africa,3539.55
ORD100988,2024-08-19,South America,3925.67
ORD101177,2024-08-19,Europe,4638.43
ORD101604,2024-08-19,South America,2678.13
ORD100525,2024-08-20,South America,2649.29
ORD100554,2024-08-20,Europe,5543.99
ORD101576,2024-08-20,Asia,3195.83
